                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5183,                 5.2658,                 1.5805,                      0,                      0,                      0,                      0,                 1.4183,                 5.8956,                 1.6441,              0.0001274,              0.0001274,              0.0001274
                      2,                 1.2081,                 4.3978,                 1.3368,                0.91967,                0.07812,                0.18495,                 0.1353,                0.98695,                 4.9888,                 1.1965,             0.00025421,             0.00025421,             0.00025421
                      3,                 1.1158,                  3.705,                 1.2457,                0.03423,                0.71458,                0.24295,                0.17621,                 1.0416,                 4.7598,                 1.2906,              0.0003758,              0.0003758,              0.0003758
                      4,                 1.0645,                 3.4853,                 1.2471,                0.45059,                0.38728,                0.40684,                0.29726,                 1.0791,                 4.1658,                 1.2262,             0.00042797,             0.00042797,             0.00042797
                      5,                 1.0601,                 3.2955,                 1.2116,                 0.5126,                0.49922,                0.44851,                0.33336,                 1.1047,                 3.8389,                 1.2427,             0.00042797,             0.00042797,             0.00042797
                      6,                 1.0224,                 2.9768,                 1.2028,                0.36057,                0.42216,                0.44603,                 0.3131,                 1.0543,                 3.8147,                 1.1959,             0.00041896,             0.00041896,             0.00041896
                      7,                 1.0071,                 2.7735,                 1.1838,                0.38541,                0.60165,                0.64439,                0.48541,                 1.0142,                 3.3631,                   1.15,             0.00040995,             0.00040995,             0.00040995
                      8,                0.99727,                 2.5713,                 1.1871,                0.56689,                0.62451,                0.61452,                0.43177,                  1.181,                 3.3218,                 1.3132,             0.00040095,             0.00040095,             0.00040095
                      9,                0.95333,                 2.4677,                 1.1393,                0.67558,                0.56708,                0.66299,                0.49573,                 1.1147,                 3.2724,                 1.1942,             0.00039194,             0.00039194,             0.00039194
                     10,                0.94272,                 2.3651,                 1.1558,                0.55669,                0.55535,                0.60899,                0.43903,                 1.0792,                  3.318,                 1.1594,             0.00038293,             0.00038293,             0.00038293
                     11,                0.91291,                 2.0652,                 1.1241,                0.54931,                0.75271,                0.73163,                 0.5116,                 1.0188,                 2.9415,                 1.1882,             0.00037392,             0.00037392,             0.00037392
                     12,                0.87934,                 2.0776,                 1.0904,                0.65682,                0.68055,                0.70539,                0.53593,                 1.0906,                 2.6971,                  1.292,             0.00036491,             0.00036491,             0.00036491
                     13,                0.85584,                 1.9193,                 1.0724,                0.74171,                0.67366,                0.74127,                0.54936,                 1.0864,                  2.529,                 1.2418,              0.0003559,              0.0003559,              0.0003559
                     14,                0.85545,                 1.7678,                  1.102,                0.63449,                0.76884,                0.77348,                0.60852,                0.97495,                 2.6487,                 1.1202,             0.00034689,             0.00034689,             0.00034689
                     15,                0.81974,                 1.6921,                 1.0562,                0.75978,                0.71157,                 0.8561,                0.62337,                 1.0347,                 2.3949,                 1.1745,             0.00033788,             0.00033788,             0.00033788
